Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes
G07,17,6/17/2022,LS,0,0,0,0,
K35,24,8/13/2022,EG/LS,0,0,0,0,
M24,1,6/23/2022,LS,1,0,0,1,
I28,5,7/16/2022,EG/LS,2,0,2,4,1 death
K15,12,7/25/2022,EG/LS/JM,0,1,0,1,1 death
I17,18,6/24/2022,EG/LS/AP,0,0,0,0,
I19,21,6/28/2022,EG/LS,0,3,1,4,
D16,5,7/30/2022,EG/LS,0,2,0,2,
J17,25,6/24/2022,EG/LS/AP,0,3,0,3,3 pairs wings
Q33,5,8/12/2022,EG/LS,0,0,0,0,
M36,4,8/11/2022,EG/LS,0,0,0,0,
E08,11,6/17/2022,EG/LS,0,0,0,0,
J14,16,7/25/2022,EG/LS/JM,0,1,0,1,
N04,22,7/22/2022,EG/LS,3,0,1,4,1 death
L19,14,7/7/2022,EG/LS/JM,0,2,0,2,1 wing
G22,5,7/10/2022,EG/LS,0,0,0,0,
H17,7,6/24/2022,EG/LS/AP,0,0,0,0,
K28,16,6/16/2022,EG/LS,6,4,3,13,
K05,18,7/13/2022,EG/LS,15,4,5,24,
E09,22,6/17/2022,LS,0,0,0,0,
L26,23,6/22/2022,EG/LS,0,0,0,0,
K05,20,7/13/2022,EG/LS,11,2,5,18,
J02,23,8/15/2022,EG/LS,0,2,1,3,
G10,7,7/5/2022,EG/LS,0,0,0,0,
N32,11,8/11/2022,EG/LS,0,1,2,3,
M04,3,7/24/2022,EG/LS/WH,14,3,4,21,3 deaths
L35,17,8/13/2022,EG/LS,2,0,3,5,
M29,22,6/11/2022,"EG, LS",2,1,0,3,
E10,22,7/5/2022,EG/LS,0,0,0,0,
J33,7,8/13/2022,EG/LS,0,0,0,0,
N31,15,6/18/2022,EG/LS,0,0,0,0,
I13,8,7/28/2022,EG/LS/AP,0,0,0,0,
H20,18,6/28/2022,EG/LS,1,2,2,5,
I03,12,7/24/2022,EG/LS/WH,0,0,0,0,
E16,17,7/30/2022,EG/LS,0,0,0,0,
N01,17,7/22/2022,EG/LS,1,0,1,2,1 death
K21,14,6/12/2022,LS,2,2,2,6,
K28,19,6/16/2022,EG/LS,1,3,0,4,
L32,16,6/11/2022,EG,0,0,0,0,
L31,16,6/12/2022,LS,0,0,0,0,
K23,12,6/23/2022,LS,0,0,0,0,
I19,15,6/28/2022,EG/LS,0,1,0,1,
M32,22,8/11/2022,EG/LS,0,0,0,0,
O30,1,6/11/2022,EG,0,0,0,0,
N29,6,6/11/2022,EG ,7,5,6,18,
J03,10,7/24/2022,EG/LS/WH,0,1,1,2,
H07,23,6/25/2022,EG/LS,1,2,0,3,
K29,12,6/16/2022,EG,4,1,1,6,
N26,8,6/22/2022,LS,4,1,0,5,
M33,14,8/11/2022,EG/LS,0,0,0,0,
K26,11,6/22/2022,LS,0,1,0,1,
I21,25,6/28/2022,EG/LS,0,0,0,0,
