Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes
M21,21,6/12/2022,EG,0,2,0,2,
L30,21,6/16/2022,LS,0,0,0,0,
G15,13,7/28/2022,EG/LS/AP,0,0,0,0,
H27,18,7/16/2022,EG/LS,0,0,0,0,
F09,9,6/17/2022,LS,0,0,0,0,
K14,8,7/25/2022,EG/LS/JM,0,0,0,0,
H06,18,7/12/2022,EG/LS,0,0,0,0,incl. cabin
H16,12,6/24/2022,EG/LS/AP,0,3,0,3,
H14,5,7/28/2022,EG/LS/AP,0,0,0,0,
H16,23,6/24/2022,EG/LS/AP,0,0,0,0,1 pair wings
F08,3,6/17/2022,EG,0,0,0,0,
I22,6,7/10/2022,EG/LS,0,0,0,0,
O28,20,6/18/2022,EG/LS,0,0,0,0,
J32,8,8/13/2022,EG/LS,0,0,0,0,
I24,22,7/10/2022,EG/LS,0,0,0,0,
G21,3,6/28/2022,EG/LS,0,0,0,0,1 wing
L33,19,6/11/2022,LS,0,0,0,0,
G17,10,6/24/2022,EG/LS/AP,0,0,0,0,
N24,20,6/26/2022,EG/LS,15,8,11,34,4 pairs wings  
J34,13,8/13/2022,EG/LS,0,0,0,0,
K04,7,7/24/2022,EG/LS/WH,9,1,4,14,2 deaths
H07,21,6/25/2022,EG/LS,0,0,0,0,
H23,9,7/10/2022,EG/LS,0,0,0,0,
G04,24,8/15/2022,EG/LS,0,0,0,0,
H03,1,7/24/2022,EG/LS/WH,0,0,0,0,
H01,19,8/15/2022,EG/LS,0,0,0,0,
O06,7,7/21/2022,EG/LS,8,1,0,9,1 death
L30,17,6/16/2022,EG,2,1,1,4,
O32,12,8/11/2022,EG/LS,0,0,0,0,
I32,2,8/13/2022,EG/LS,0,0,0,0,
L07,23,6/25/2022,EG/LS,0,0,0,0,1 pair wings
N34,17,8/11/2022,EG/LS,0,0,0,0,incl. foundation
N35,24,8/11/2022,EG/LS,0,0,0,0,
O27,2,6/19/2022,EG/JM,0,0,1,1,
M22,7,6/23/2022,EG,8,5,6,19,3 pairs wings
L21,24,6/12/2022,EG,2,2,2,6,
M01,17,8/15/2022,EG/LS,0,0,2,2,
E18,14,7/30/2022,EG/LS,0,4,0,4,
I27,5,7/16/2022,EG/LS,4,0,0,4,
M06,15,7/21/2022,EG/LS,8,1,3,12,
J31,14,8/13/2022,EG/LS,0,0,0,0,
C08,11,8/16/2022,EG/LS,0,0,0,0,
E17,12,7/30/2022,EG/LS,0,0,0,0,
M27,13,6/18/2022,EG/LS,2,2,2,6,
K24,9,6/23/2022,LS,0,1,0,1,
N27,18,6/18/2022,EG/LS,6,3,3,12,
J19,20,7/8/2022,EG/LS,1,0,1,2,
J15,4,7/25/2022,EG/LS/JM,0,1,0,1,
I27,19,7/16/2022,EG/LS,7,0,1,8,1 death
H28,3,7/16/2022,EG/LS,0,0,0,0,
K02,18,8/15/2022,EG/LS,0,2,4,6,
J22,11,6/12/2022,LS,0,0,0,0,
H08,4,6/25/2022,EG/LS/JM,0,1,0,1,
P33,21,8/12/2022,EG/LS,0,0,0,0,
L02,6,8/15/2022,EG/LS,0,0,2,2,
I29,6,7/16/2022,EG/LS,0,0,0,0,
N31,5,6/18/2022,EG/LS,0,0,0,0,
L09,14,6/25/2022,EG/LS/JM,0,0,0,0,
H25,20,7/10/2022,EG/LS,4,2,0,6,
M27,3,6/18/2022,EG/LS,5,1,3,9,
D15,16,7/30/2022,EG/LS,0,4,1,5,1 death
J27,25,6/29/2022,EG/LS/JM,5,3,6,14,
O34,19,8/11/2022,EG/LS,0,0,0,0,
K16,25,6/24/2022,EG/LS/AP,4,1,0,5,
J33,24,8/13/2022,EG/LS,0,0,0,0,
O29,21,6/11/2022,LS,0,1,0,1,
F04,5,8/15/2022,EG/LS,0,0,0,0,
J07,8,6/25/2022,EG/LS,0,1,0,1,
L28,2,6/16/2022,EG/LS,0,1,0,1,
K17,18,6/24/2022,EG/LS/AP,0,5,1,6,
K22,21,6/12/2022,EG,0,0,0,0,
K20,25,7/8/2022,EG/LS,0,0,1,1,
N36,11,8/11/2022,EG/LS,0,0,0,0,
M03,17,7/24/2022,EG/LS/WH,7,4,6,17,
H30,12,8/13/2022,EG/LS,0,0,0,0,
N25,5,6/22/2022,EG/LS,8,6,4,18,
